MODEL PATTERN,FOOT REST,SGC:FRT PUBX,SGC:FRT PUBX UP,SGC:REAR PUBX,B/PANEL,EURO-5,SIDE STEP
120268U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120296U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120297U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120298U0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
120402U0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120299U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120405U0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
120272U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120301U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120302U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120303U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120304U0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
120275U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120305U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120206U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120306U0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
120208U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120396U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120281U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120212U0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120216U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120282U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120218U0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120277U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120397U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120307U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120308U0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
120309U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120222U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120285U0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120224U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120287U0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120226U0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120289U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120228U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120291U0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120398U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120293U0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120232U0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120269U0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120295U0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120406U0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
120311U0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120274U0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120313U0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120276U0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120403U0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120278U0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120314U0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120315U0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120284U0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120312U0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120286U0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120288U0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120316U0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120317U0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120404U0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120292U0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120294U0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120318U0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
120498U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120499U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120500U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120501U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120502U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120503U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120504U0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120505U0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
120506U0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
120507U0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
120508U0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
120509U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120510U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120511U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120512U0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
120513U0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
120514U0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
120515U0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
