HEADERRT50 FRAME        201011011108070017000000                                                                                                                          
810E00850120011L000641           008608981498860     201105101312267125012                                                                                                
810E00860120021L000642           008708981498860     201105101312267125012                                                                                                
810E00870120031L000643           008808981498860     201105101312267125012                                                                                                
810E00880120041L000644           008908981498860     201105101312267125012                                                                                                
810E00890120051L000645           009008981498860     201105101312267125012                                                                                                
810E00900130011L000646           009108981498860     201105101312267125012                                                                                                
810E00910130021L000647           009208981498860     201105101312267125012                                                                                                
810E00920130031L000648           009308981498860     201105101312267125012                                                                                                
810E00930130041L000649           009408981498860     201105101312267125012                                                                                                
810E00940130051L000650           009508981498860     201105101312267125012                                                                                                
810E00950140011L000651           009608981498860     201105101312267125012                                                                                                
810E00960140021L000652           009708981498860     201105101312267125012                                                                                                
810E00970140031L000653           009808981498860     201105101312267125012                                                                                                
810E00980140041L000654           009908981498860     201105101312267125012                                                                                                
810E00990140051L000655           010008981498860     201105101312267125012                                                                                                
810E01000150011L000656           010108981498860     201105101312267125012                                                                                                
810E01010150021L000657           010208981498860     201105101312267125012                                                                                                
810E01020150031L000658           010308981498860     201105101312267125012                                                                                                
810E01030150041L000659           010408981498860     201105101312267125012                                                                                                
810E01040150051L000660           010508981498860     201105101312267125012                                                                                                
810E01050160011L000661           010608981498860     201105101312267125012                                                                                                
810E01060160021L000662           010708981498860     201105101312267125012                                                                                                
810E01070160031L000663           010808981498860     201105101312267125012                                                                                                
810E01080160041L000664           010908981498860     201105101312267125012                                                                                                
810E01090160051L000665           011008981498860     201105101312267125012                                                                                                
810E01100170011L000666           011108981498860     201105101312267125012                                                                                                
810E01110170021L000667           011208981498860     201105101312267125012                                                                                                
810E01120170031L000668           011308981498860     201105101312267125012                                                                                                
810E01130170041L000669           011408981498860     201105101312267125012                                                                                                
810E01140170051L000670           011508981498860     201105101312267125012                                                                                                
810E01150180011L000671           011608981498860     201105101312267125012                                                                                                
810E01160180021L000672           011708981498860     201105101312267125012                                                                                                
810E01170180031L000673           011808981498860     201105101312267125012                                                                                                
810E01180180041L000674           011908981498860     201105101312267125012                                                                                                
810E01190180051L000675           012008981498860     201105101312267125012                                                                                                
810E01200190011L000676           012108981498860     201105101312267125012                                                                                                
810E01210190021L000677           012208981498860     201105101312267125012                                                                                                
810E01220190031L000678           012308981498860     201105101312267125012                                                                                                
810E01230190041L000679           012408981498860     201105101312267125012                                                                                                
810E01240190051L000680           012508981498860     201105101312267125012                                                                                                
810E01250200011L000681           012608981498860     201105101312267125012                                                                                                
810E01260200021L000682           012708981498860     201105101312267125012                                                                                                
810E01270200031L000683           012808981498860     201105101312267125012                                                                                                
810E01280200041L000684           012908981498860     201105101312267125012                                                                                                
810E01290200051L000685           013008981498860     201105101312267125012                                                                                                
810E01300210011L000686           013108981498860     201105101312267125012                                                                                                
810E01310210021L000687           013208981498860     201105101312267125012                                                                                                
810E01320210031L000688           013308981498860     201105101312267125012                                                                                                
810E01330210041L000689           013408981498860     201105101312267125012                                                                                                
810E01340210051L000690           013508981498860     201105101312267125012                                                                                                
810E01350220011L000691           013608981498860     201105101312267125012                                                                                                
810E01360220021L000692           013708981498860     201105101312267125012                                                                                                
810E01370220031L000693           013808981498860     201105101312267125012                                                                                                
810E01380220041L000694           013908981498860     201105101312267125012                                                                                                
810E01390220051L000695           014008981498860     201105101312267125012                                                                                                
810E01400230011L000696           014108981498860     201105101312267125012                                                                                                
810E01410230021L000697           014208981498860     201105101312267125012                                                                                                
810E01420230031L000698           014308981498860     201105101312267125012                                                                                                
810E01430230041L000699           014408981498860     201105101312267125012                                                                                                
810E01440230051L000700           014508981498860     201105101312267125012                                                                                                
810E01450240011L000701           014608981498860     201105101312267125012                                                                                                
810E01460240021L000702           014708981498860     201105101312267125012                                                                                                
810E01470240031L000703           014808981498860     201105101312267125012                                                                                                
810E01480240041L000704           014908981498860     201105101312267125012                                                                                                
810E01490240051L000705           015008981498860     201105101312267125012                                                                                                
810E01500250011L000706           015108981498860     201105101312267125012                                                                                                
810E01510250021L000707           015208981498860     201105101312267125012                                                                                                
810E01520250031L000708           015308981498860     201105101312267125012                                                                                                
810E01530250041L000709           015408981498860     201105101312267125012                                                                                                
810E01540250051L000710           015508981498860     201105101312267125012                                                                                                
810E01550260011L000711           015608981498860     201105101312267125012                                                                                                
810E01560260021L000712           015708981498860     201105101312267125012                                                                                                
810E01570260031L000713           015808981498860     201105101312267125012                                                                                                
810E01580260041L000714           015908981498860     201105101312267125012                                                                                                
810E01590260051L000715           016008981498860     201105101312267125012                                                                                                
810E01600270011L000716           016108981498860     201105101312267125012                                                                                                
810E01610270021L000717           016208981498860     201105101312267125012                                                                                                
810E01620270031L000718           016308981498860     201105101312267125012                                                                                                
810E01630270041L000719           016408981498860     201105101312267125012                                                                                                
810E01640270051L000720           016508981498860     201105101312267125012                                                                                                
810E01650280011L000721           016608981498860     201105101312267125012                                                                                                
810E01660280021L000722           016708981498860     201105101312267125012                                                                                                
810E01670280031L000723           016808981498860     201105101312267125012                                                                                                
810E01680280041L000724           016908981498860     201105101312267125012                                                                                                
810E01690280051L000725           017008981498860     201105101312267125012                                                                                                
810E01700290011L000726           017108981498860     201105101312267125012                                                                                                
810E01710290021L000727           017208981498860     201105101312267125012                                                                                                
810E01720290031L000728           017308981498860     201105101312267125012                                                                                                
810E01730290041L000729           017408981498860     201105101312267125012                                                                                                
810E01740290051L000730           017508981498860     201105101312267125012                                                                                                
810E01750300011L000731           017608981498860     201105101312267125012                                                                                                
810E01760300021L000732           017708981498860     201105101312267125012                                                                                                
810E01770300031L000733           017808981498860     201105101312267125012                                                                                                
810E01780300041L000734           017908981498860     201105101312267125012                                                                                                
810E01790300051L000735           018008981498860     201105101312267125012                                                                                                
810E01800310011L000736           018108981498860     201105101312267125012                                                                                                
810E01810310021L000737           018208981498860     201105101312267125012                                                                                                
810E01820310031L000738           018308981498860     201105101312267125012                                                                                                
810E01830310041L000739           018408981498860     201105101312267125012                                                                                                
810E01840310051L000740           018508981498860     201105101312267125012                                                                                                
810E01850320011L000741           018608981498860     201105101312267125012                                                                                                
810E01860320021L000742           018708981498860     201105101312267125012                                                                                                
810E01870320031L000743           018808981498860     201105101312267125012                                                                                                
810E01880320041L000744           018908981498860     201105101312267125012                                                                                                
810E01890320051L000745           019008981498860     201105101312267125012                                                                                                
810E01900330011L000746           019108981498860     201105101312267125012                                                                                                
810E01910330021L000747           019208981498860     201105101312267125012                                                                                                
810E01920330031L000748           019308981498860     201105101312267125012                                                                                                
810E01930330041L000749           019408981498860     201105101312267125012                                                                                                
810E01940330051L000750           019508981498860     201105101312267125012                                                                                                
810E01950340011L000751           019608981498860     201105101312267125012                                                                                                
810E01960340021L000752           019708981498860     201105101312267125012                                                                                                
810E01970340031L000753           019808981498860     201105101312267125012                                                                                                
810E01980340041L000754           019908981498860     201105101312267125012                                                                                                
810E01990340051L000755           020008981498860     201105101312267125012                                                                                                
810E02000350011L000756           020108981498860     201105101312267125012                                                                                                
810E02010350021L000757           020208981498860     201105101312267125012                                                                                                
810E02020350031L000758           020308981498860     201105101312267125012                                                                                                
810E02030350041L000759           020408981498860     201105101312267125012                                                                                                
810E02040350051L000760           020508981498860     201105101312267125012                                                                                                
810E02050360011L000761           020608981498860     201105101312267125012                                                                                                
810E02060360021L000762           020708981498860     201105101312267125012                                                                                                
810E02070360031L000763           020808981498860     201105101312267125012                                                                                                
810E02080360041L000764           020908981498860     201105101312267125012                                                                                                
810E02090360051L000765           021008981498860     201105101312267125012                                                                                                
810E02100370011L000766           021108981498860     201105101312267125012                                                                                                
810E02110370021L000767           021208981498860     201105101312267125012                                                                                                
810E02120370031L000768           021308981498860     201105101312267125012                                                                                                
810E02130370041L000769           021408981498860     201105101312267125012                                                                                                
810E02140370051L000770           021508981498860     201105101312267125012                                                                                                
810E02150380011L000771           021608981498860     201105101312267125012                                                                                                
810E02160380021L000772           021708981498860     201105101312267125012                                                                                                
810E02170380031L000773           021808981498860     201105101312267125012                                                                                                
810E02180380041L000774           021908981498860     201105101312267125012                                                                                                
810E02190380051L000775           022008981498860     201105101312267125012                                                                                                
810E02200390011L000776           022108981498860     201105101312267125012                                                                                                
810E02210390021L000777           022208981498860     201105101312267125012                                                                                                
810E02220390031L000778           022308981498860     201105101312267125012                                                                                                
810E02230390041L000779           022408981498860     201105101312267125012                                                                                                
810E02240390051L000780           022508981498860     201105101312267125012                                                                                                
810E02250400011L000781           022608981498860     201105101312267125012                                                                                                
810E02260400021L000782           022708981498860     201105101312267125012                                                                                                
810E02270400031L000783           022808981498860     201105101312267125012                                                                                                
810E02280400041L000784           022908981498860     201105101312267125012                                                                                                
810E02290400051L000785           023008981498860     201105101312267125012                                                                                                
810E02300410011L000786           023108981498860     201105101312267125012                                                                                                
810E02310410021L000787           023208981498860     201105101312267125012                                                                                                
810E02320410031L000788           023308981498860     201105101312267125012                                                                                                
810E02330410041L000789           023408981498860     201105101312267125012                                                                                                
810E02340410051L000790           023508981498860     201105101312267125012                                                                                                
810E02350420011L000791           023608981498860     201105101312267125012                                                                                                
810E02360420021L000792           023708981498860     201105101312267125012                                                                                                
810E02370420031L000793           023808981498860     201105101312267125012                                                                                                
810E02380420041L000794           023908981498860     201105101312267125012                                                                                                
810E02390420051L000795           024008981498860     201105101312267125012                                                                                                
810E02400430011L000796           024108981498860     201105101312267125012                                                                                                
810E02410430021L000797           024208981498860     201105101312267125012                                                                                                
810E02420430031L000798           024308981498860     201105101312267125012                                                                                                
810E02430430041L000799           024408981498860     201105101312267125012                                                                                                
810E02440430051L000800           024508981498860     201105101312267125012                                                                                                
810E02450440011L000801           024608981498860     201105101312267125012                                                                                                
810E02460440021L000802           024708981498860     201105101312267125012                                                                                                
810E02470440031L000803           024808981498860     201105101312267125012                                                                                                
810E02480440041L000804           024908981498860     201105101312267125012                                                                                                
810E02490440051L000805           025008981498860     201105101312267125012                                                                                                
810E02500450011L000806           025108981498860     201105101312267125012                                                                                                
810E02510450021L000807           025208981498860     201105101312267125012                                                                                                
810E02520450031L000808           025308981498860     201105101312267125012                                                                                                
810E02530450041L000809           025408981498860     201105101312267125012                                                                                                
810E02540450051L000810           025508981498860     201105101312267125012                                                                                                
810E02550460011L000811           025608981498860     201105101312267125012                                                                                                
810E02560460021L000812           025708981498860     201105101312267125012                                                                                                
810E02570460031L000813           025808981498860     201105101312267125012                                                                                                
810E02580460041L000814           025908981498860     201105101312267125012                                                                                                
810E02590460051L000815           026008981498860     201105101312267125012                                                                                                
810E02600470011L000816           026108981498860     201105101312267125012                                                                                                
810E02610470021L000817           026208981498860     201105101312267125012                                                                                                
810E02620470031L000818           026308981498860     201105101312267125012                                                                                                
