HEADERRT50 FRAME        201011011108070017000000                                                                                                                          
120E1A000010011L000556           000108981022521     201105101211244116022                                                                                                
120E1A000010021L000557           000208981022521     201105101211244116022                                                                                                
120E1A000010031L000558           000308981022521     201105101211244116022                                                                                                
120E1A000010041L000559           000408981022521     201105101211244116022                                                                                                
120E1A000010051L000560           000508981022521     201105101211244116022                                                                                                
120E1D000020011L000561           000608981498810     201105101212244113012                                                                                                
120E1D000020021L000562           000708981498810     201105101212244113012                                                                                                
120E1D000020031L000563           000808981498810     201105101212244113012                                                                                                
120E1D000020041L000564           000908981498810     201105101212244113012                                                                                                
120E1D000020051L000565           001008981498810     201105101212244113012                                                                                                
120E1D000030011L000566           001108981498810     201105101212244113012                                                                                                
120E1D000030021L000567           001208981498810     201105101212244113012                                                                                                
120E1D000030031L000568           001308981498810     201105101212244113012                                                                                                
120E1D000030041L000569           001408981498810     201105101212244113012                                                                                                
120E1D000030051L000570           001508981498810     201105101212244113012                                                                                                
120E1E000040011L000571           001608981498810     201105101212244113012                                                                                                
120E1E000040021L000572           001708981498810     201105101212244113012                                                                                                
120E1E000040031L000573           001808981498810     201105101212244113012                                                                                                
120E1E000040041L000574           001908981498810     201105101212244113012                                                                                                
120E1E000040051L000575           002008981498810     201105101212244113012                                                                                                
120E1E000050011L000576           002108981498810     201105101212244113012                                                                                                
120E1E000050021L000577           002208981498810     201105101212244113012                                                                                                
120E1E000050031L000578           002308981498810     201105101212244113012                                                                                                
120E1E000050041L000579           002408981498810     201105101212244113012                                                                                                
120E1E000050051L000580           002508981498810     201105101212244113012                                                                                                
120E1F000030011L000581           002608981498810     201105101212244113012                                                                                                
120E1F000030021L000582           002708981498810     201105101212244113012                                                                                                
120E1F000030031L000583           002808981498810     201105101212244113012                                                                                                
120E1F000030041L000584           002908981498810     201105101212244113012                                                                                                
120E1F000030051L000585           003008981498810     201105101212244113012                                                                                                
120E1G000060011L000586           003108981498860     201105101312267125012                                                                                                
120E1G000060021L000587           003208981498860     201105101312267125012                                                                                                
120E1G000060031L000588           003308981498860     201105101312267125012                                                                                                
120E1G000060041L000589           003408981498860     201105101312267125012                                                                                                
120E1G000060051L000590           003508981498860     201105101312267125012                                                                                                
120E1H000020011L000591           003608981498860     201105101312267125012                                                                                                
120E1H000020021L000592           003708981498860     201105101312267125012                                                                                                
120E1H000020031L000593           003808981498860     201105101312267125012                                                                                                
120E1H000020041L000594           003908981498860     201105101312267125012                                                                                                
120E1H000020051L000595           004008981498860     201105101312267125012                                                                                                
120E1H000030011L000596           004108981498860     201105101312267125012                                                                                                
120E1H000030021L000597           004208981498860     201105101312267125012                                                                                                
120E1H000030031L000598           004308981498860     201105101312267125012                                                                                                
120E1H000030041L000599           004408981498860     201105101312267125012                                                                                                
120E1H000030051L000600           004508981498860     201105101312267125012                                                                                                
120E1H000040011L000601           004608981498860     201105101312267125012                                                                                                
120E1H000040021L000602           004708981498860     201105101312267125012                                                                                                
120E1H000040031L000603           004808981498860     201105101312267125012                                                                                                
120E1H000040041L000604           004908981498860     201105101312267125012                                                                                                
120E1H000040051L000605           005008981498860     201105101312267125012                                                                                                
120E1H000050011L000606           005108981498860     201105101312267125012                                                                                                
120E1H000050021L000607           005208981498860     201105101312267125012                                                                                                
120E1H000050031L000608           005308981498860     201105101312267125012                                                                                                
120E1H000050041L000609           005408981498860     201105101312267125012                                                                                                
120E1H000050051L000610           005508981498860     201105101312267125012                                                                                                
120E1H000060011L000611           005608981498860     201105101312267125012                                                                                                
120E1H000060021L000612           005708981498860     201105101312267125012                                                                                                
120E1H000060031L000613           005808981498860     201105101312267125012                                                                                                
120E1H000060041L000614           005908981498860     201105101312267125012                                                                                                
120E1H000060051L000615           006008981498860     201105101312267125012                                                                                                
120E1H000070011L000616           006108981498860     201105101312267125012                                                                                                
120E1H000070021L000617           006208981498860     201105101312267125012                                                                                                
120E1H000070031L000618           006308981498860     201105101312267125012                                                                                                
120E1H000070041L000619           006408981498860     201105101312267125012                                                                                                
